cost,raw_sum_km_s,departure_vinf_km_s,arrival_vinf_km_s,powered_flyby_dv_km_s,turn_excess_deg,min_turn_margin_deg,tof_total_days,epochs_et_s,tofs_days,leg_paths,event0_KERBIN_et_s,event1_JOOL_et_s,leg1_path,leg1_tof_days
8.007544506019268,7.9226711316181735,4.990650619028682,2.932020512589491,0,0,,620.0,"571968081.851686,625536081.851686",620,0rev_cw1,571968081.8516864,625536081.8516864,0rev_cw1,620.0
8.02826557752796,7.9324407999783375,4.735053491911803,3.1973873080665354,0,0,,700.0,"191808081.851686,252288081.851686",700,0rev_cw1,191808081.8516864,252288081.8516864,0rev_cw1,700.0
8.03164002731477,7.935815249765146,4.783528729526078,3.152286520239068,0,0,,700.0,"399168081.851686,459648081.851686",700,0rev_cw1,399168081.8516864,459648081.8516864,0rev_cw1,700.0
8.005066670705347,7.936620401027044,5.005923614556641,2.9306967864704023,0,0,,500.0,"449280081.851686,492480081.851686",500,0rev_cw1,449280081.8516864,492480081.8516864,0rev_cw1,500.0
8.022994429568502,7.943596756741671,4.5582128652706375,3.385383891471034,0,0,,580.0,"848448081.851686,898560081.851686",580,0rev_cw1,848448081.8516864,898560081.8516864,0rev_cw1,580.0
8.01934851492711,7.945426543674542,4.776122803470773,3.1693037402037696,0,0,,540.0,"105408081.851686,152064081.851686",540,0rev_cw0,105408081.8516864,152064081.85168642,0rev_cw0,540.0
8.035946273474488,7.945597197499129,4.506735747684586,3.438861449814543,0,0,,660.0,"623808081.851686,680832081.851686",660,0rev_cw0,623808081.8516864,680832081.8516864,0rev_cw0,660.0
8.041759836622111,7.945935059072487,4.792009468519464,3.1539255905530226,0,0,,700.0,"381888081.851686,442368081.851686",700,0rev_cw1,381888081.8516864,442368081.8516864,0rev_cw1,700.0
8.033327174688068,7.9484538002869725,4.472217058117828,3.476236742169144,0,0,,620.0,"468288081.851686,521856081.851686",620,0rev_cw1,468288081.8516864,521856081.8516864,0rev_cw1,620.0
8.023007204430453,7.949085233177885,5.136800818332901,2.812284414844984,0,0,,540.0,"53568081.8516864,100224081.851686",540,0rev_cw0,53568081.8516864,100224081.8516864,0rev_cw0,540.0
8.020296804871473,7.951850535193171,5.086590972696423,2.865259562496748,0,0,,500.0,"260928081.851686,304128081.851686",500,0rev_cw1,260928081.8516864,304128081.85168636,0rev_cw1,500.0
8.026346449039202,7.952424477786635,5.006434183405838,2.945990294380797,0,0,,540.0,"86400081.8516864,133056081.851686",540,0rev_cw1,86400081.8516864,133056081.8516864,0rev_cw1,540.0
