cost,raw_sum_km_s,departure_vinf_km_s,arrival_vinf_km_s,powered_flyby_dv_km_s,turn_excess_deg,min_turn_margin_deg,tof_total_days,epochs_et_s,tofs_days,leg_paths,event0_KERBIN_et_s,event1_KERBIN_et_s,event2_JOOL_et_s,leg1_path,leg1_tof_days,leg2_path,leg2_tof_days,flyby1_KERBIN_vinf_in_km_s,flyby1_KERBIN_vinf_out_km_s,flyby1_KERBIN_vinf_mismatch_km_s,flyby1_KERBIN_turn_required_deg,flyby1_KERBIN_turn_max_deg,flyby1_KERBIN_turn_margin_deg,flyby1_KERBIN_turn_excess_deg
18.17701181437403,7.853076125910627,4.5221008723505305,3.2619719532573903,0.06900330030270663,0.0,7.843579697155144,1456.0,"254016081.851686,329702481.851686,379814481.851686","876,580","left_cw1,0rev_cw1",254016081.8516864,329702481.85168636,379814481.85168636,left_cw1,876.0,0rev_cw1,580.0,4.519728916347091,4.588732216649798,0.06900330030270663,41.66989479216962,49.513474489324764,7.843579697155144,0.0
17.420223877061517,7.857725509395953,5.059852254112799,2.7343045397524692,0.06356871553068544,0.0,21.266265282500306,2124.0,"63936081.8516864,114393681.851686,247449681.851686","584,1540","right_cw1,left_cw0",63936081.8516864,114393681.8516864,247449681.85168642,right_cw1,584.0,left_cw0,1540.0,5.096141987315112,5.032573271784426,0.06356871553068544,21.936330431913365,43.20259571441367,21.266265282500306,0.0
8.614290827242238,7.858282962000915,5.074346959542691,2.778705827777851,0.005230174680373345,0.0,8.857768818556401,1124.0,"539136081.851686,589593681.851686,636249681.851686","584,540","right_cw1,0rev_cw0",539136081.8516864,589593681.8516864,636249681.8516864,right_cw1,584.0,0rev_cw0,540.0,5.101849742676758,5.107079917357131,0.005230174680373345,33.89382340339796,42.75159222195436,8.857768818556401,0.0
20.898865391650908,7.858742991834952,4.509029881502652,3.2626040023230214,0.08710910800927874,0.0,6.92251154348961,1456.0,"927936081.851686,1003622481.85169,1053734481.85169","876,580","left_cw1,0rev_cw1",927936081.8516864,1003622481.8516864,1053734481.8516864,left_cw1,876.0,0rev_cw1,580.0,4.54934710163741,4.462237993628131,0.08710910800927874,43.24980707597872,50.17231861946833,6.92251154348961,0.0
23.686738942669333,7.862406100498829,4.531496806312198,3.225656615905178,0.10525267828145246,0.0,14.174224655861353,2496.0,"539136081.851686,614822481.851686,754790481.851686","876,1620","left_cw1,left_cw1",539136081.8516864,614822481.8516864,754790481.8516864,left_cw1,876.0,left_cw1,1620.0,4.511251932734229,4.6165046110156815,0.10525267828145246,35.2093344783593,49.383559134220654,14.174224655861353,0.0
11.658446422617914,7.862777609052265,5.071165056988726,2.7667106409122204,0.02490191115131868,0.0,23.543698111264867,2084.0,"236736081.851686,287193681.851686,416793681.851686","584,1500","right_cw1,left_cw0",236736081.8516864,287193681.85168636,416793681.85168636,right_cw1,584.0,left_cw0,1500.0,5.08704141438048,5.062139503229162,0.02490191115131868,19.543243999857868,43.08694211112273,23.543698111264867,0.0
9.394755809898848,7.865084276229016,4.526079343657418,3.3303174859859066,0.008687446585691205,0.0,5.595874370325395,2536.0,"815616081.851686,891302481.851686,1034726481.85169","876,1660","left_cw1,left_cw0",815616081.8516864,891302481.8516864,1034726481.8516864,left_cw1,876.0,left_cw0,1660.0,4.543643737237077,4.552331183822768,0.008687446585691205,44.00190024033493,49.59777461066033,5.595874370325395,0.0
26.528979783012826,7.86768843192783,4.734305866135266,3.0093278516639903,0.12405471412857416,0.0,19.522580884569894,2755.0,"902016081.851686,996624081.851686,1140048081.85169","1095,1660","left_cw1,left_cw0",902016081.8516864,996624081.8516864,1140048081.8516865,left_cw1,1095.0,left_cw0,1660.0,4.734665665111236,4.85872037923981,0.12405471412857416,26.853404646741293,46.37598553131119,19.522580884569894,0.0
18.306882714128314,7.870165524747946,5.0611559030328115,2.73953691609526,0.06947270561987384,0.0,21.20146861226636,2084.0,"426816081.851686,477273681.851686,606873681.851686","584,1500","right_cw1,left_cw0",426816081.8516864,477273681.8516864,606873681.8516865,right_cw1,584.0,left_cw0,1500.0,5.100437339399698,5.030964633779824,0.06947270561987384,21.985921196244135,43.187389808510495,21.20146861226636,0.0
9.67753317536005,7.87099184707745,5.070899250246622,2.7876217926991496,0.012470804131678115,0.0,15.732251100604023,1084.0,"729216081.851686,779673681.851686,822873681.851686","584,500","right_cw1,0rev_cw0",729216081.8516864,779673681.8516864,822873681.8516864,right_cw1,584.0,0rev_cw0,500.0,5.109904843562865,5.122375647694543,0.012470804131678115,26.889204467768337,42.62145556837236,15.732251100604023,0.0
40.078652292666426,7.871655523627601,4.537896999905885,3.11805331652501,0.21570520719670672,0.0,7.167302186111155,1536.0,"340416081.851686,416102481.851686,473126481.851686","876,660","left_cw1,0rev_cw1",340416081.8516864,416102481.8516864,473126481.8516864,left_cw1,876.0,0rev_cw1,660.0,4.5414357460673545,4.757140953264061,0.21570520719670672,41.08479552687415,48.25209771298531,7.167302186111155,0.0
